artist_name,track_name,release_date,genre,lyrics
The Beatles,Hey Jude,1968,soul,"Hey, Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better  Hey, Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better  And anytime you feel the pain, hey, Jude, refrain Don't carry the world upon your shoulders For well you know that it's a fool who plays it cool By making his world a little colder Na-na-na-na-na, na-na-na-na  Hey, Jude, don't let me down You have found her, now go and get her (Let it out and let it in) Remember (Hey, Jude) to let her into your heart Then you can start to make it better You might also like So let it out and let it in, hey, Jude, begin You're waiting for someone to perform with And don't you know that it's just you, hey, Jude, you'll do The movement you need is on your shoulder Na-na-na-na-na, na-na-na-na, yeah  Hey, Jude, don't make it bad Take a sad song and make it better Remember to let her under your skin Then you'll begin to make it (Woah, fucking hell!) Better, better, better, better, better, better, oh  Yeah, yeah-yeah-yeah-yeah-yeah-yeah Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude (Jude, Judy, Judy, Judy, Judy, Judy, ow-wow) Na-na-na-na-na-na-na (Na-na-na), na-na-na-na, hey, Jude (Jude, Jude, Jude, Jude, Jude) Na-na-na-na-na-na-na (Yeah, yeah, yeah), na-na-na-na, hey, Jude (You know you can make, Jude, Jude, you're not gonna break it) Na-na (Don't make it bad, Jude) na-na-na-na-na (Take a sad song and make it better), na-na-na-na, hey, Jude Hey, Jude, hey, Jude wow Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Jude, Jude, Jude, Jude, Jude, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude (Na-na-na-na-na-na-na-na-na-na-na-na) Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na (Make it, Jude), na-na-na-na, hey, Jude (Yeah-yeah-yeah-yeah, yeah, yeah, yeah) Na-na-na-na-na-na-na, na-na-na-na, hey, Jude (Go listen to ya ma-ma-ma-ma-ma-ma-ma-ma) Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude99Embed"
Mariah Carey,We Belong Together,2005,soul,"Sweet love, yeah  I didn't mean it when I said I didn't love you so I shoulda held on tight, I never shoulda let you go I didn't know nothin', I was stupid, I was foolish I was lyin' to myself I couldn't have fathomed I would ever be without your love Never imagined I'd be sitting here beside myself Guess I didn't know you, guess I didn't know me But I thought I knew everything I never felt  The feelin' that I'm feelin' now that I don't hear your voice Or have your touch and kiss your lips 'cause I don't have a choice Oh, what I wouldn't give to have you lyin' by my side Right here, 'cause, baby (We belong together)  When you left, I lost a part of me (Together) It's still so hard to believe Come back, baby, please (Come back, come back, come back, come back) 'Cause we belong together Who else am I gon' lean on when times get rough? (Who else) Who's gonna talk to me on the phone 'til the sun comes up? (Who else) Who's gonna take your place? There ain't nobody better (Who else) Oh, baby, baby, we belong together See Mariah Carey LiveGet tickets as low as $90You might also like I can't sleep at night when you are on my mind Bobby Womack's on the radio Singin' to me, If you think you're lonely now Wait a minute, this is too deep (Too deep) I gotta change the station So I turn the dial, tryna catch a break And then I hear Babyface, I only think of you And it's breakin' my heart I'm tryna keep it together, but I'm fallin' apart  I'm feelin' all out of my element Throwin' things, cryin' Tryna figure out where the hell I went wrong The pain reflected in this song Ain't even half of what I'm feelin' inside I need you, need you back in my life, baby (My life, my life) (We belong together)  When you left, I lost a part of me (Together) It's still so hard to believe Come back, baby, please (Come back, come back, come back, come back) 'Cause we belong together Who else am I gon' lean on when times get rough? (Who will?) Who's gonna talk to me on the phone 'til the sun comes up? (Who will?) Who's gonna take your place? There ain't nobody better (Who will?) Oh, baby, baby, we belong together, baby (We belong together) (Who will?) When you left, I lost a part of me (Who will?) It's still so hard to believe (Who will?) Come back, baby, please (Come back, come back, come back, come back) 'Cause we belong together Who am I gonna lean on when times get rough? (Who will?) Who's gon' talk to me 'til the sun comes up? (Who will?) Who's gon' take your place? There ain't nobody better (Who will?) Oh, baby, baby, we belong together  (Who will? Who will? Who will?) We belong together79Embed"
Drake,Days in the East,2014,soul,"Yeah, why you keep askin' me about... (Why?) She's not here right now, she's not here right now Why am I the one you wanna get into it with for the drama? I've got a lot to say, and that's the last thing a nigga wanna hear right now  Spendin' all my days on the east side, oh Forgettin' who I was on the other side, oh Young nigga switchin' up the program right now Tryna put the power in my own hands right now I'm about to ride through the old hood right now Got too much pride for my own good right now Waitin' on you to give in and hit me up So I could fall through like old times and hit it up  I'm terrible at invitin' myself, call me over Those nights when you need someone else, call me over You can be the one to take control, call me over When I get there, you already know, call me  Why you keep askin' me about... (Why?) Couple other things I'd rather do than talk about that right now Told you 'bout givin' him chances on chances on chances He's not holdin' you down, he's holdin' you back right now See Drake LiveGet tickets as low as $141You might also like Spendin' all my days on the east side, oh (Oh, oh-oh-oh) Forgettin' who I was on the other side, oh Young nigga switchin' up the program right now Tryna put the power in my own hands right now Love it when your ass speak the truth to me, oh Tryna wake up and have you with me, oh Waitin' on you to give in and hit me up So I could fall through like old times and hit it up  I'm terrible at invitin' myself, call me over Those nights when you need someone else, call me over You can be the one to take control, call me over When I get there, you already know, call me  Yeah, ayy Yeah I I threw my hands in the air and said show me somethin', yeah Ayy  Remember one night I went to Erykah Badu house She made tea for me We talked about love and what life could really be for me She said, When that shit is real, you just know And I was thinkin' 'bout you, you already know Yeah, the other night Chubbs showed up at my house He had weed for me That my nigga 'til we gone, keep his ear to the streets for me Said the city stress him out on the low I said, I feel you, nigga, I already know Yeah, already... Girls talkin' 'bout, You gotta leave already? Damn, my lil' nephew turned four already Gave you little help, you need more already Damn, you need more already? 'Fore you said You're mine I was yours already 22, had the Bentley four-door already Even as a boy, I was the boy already So you know that that mean pussy galore already Mention other girls, you get insecure already That was in the past, I matured already Fuck them hoes, you got the award already You go to Chanel and get rewards already Know I do this shit for Third Ward already Know I do this shit for H-Town already Already, already, yeah Back up in this thing, it's a go Had a couple niggas out of pocket, now they know Ain't the first time 'cause I lost you before Had to get it back, had to get it back Had to pull it back because I know I'm on the road Had to take you back because I know you're down to roll If you can get it from me, you can have it, now you know All your friends askin' where you stand with the boy FaceTime say you got plans for the boy Studyin' your body, that's exams for the boy Take a flight here, pop a Xan for your boy Waking up in Amsterdam with the boy Long flight home, 'nother Xan for your boy You would prolly fly out to Japan for the boy You would prolly kill another man for the boy You would prolly... You would prolly lie 'bout it on the stand for your boy Put the Bible to your right hand for the boy That's why you ain't never gotta worry 'bout the boy You know you got... You know you got that really good insurance on the boy You just gotta pack a bag and hurry to the boy, yeah (Why? Fring)1.1KEmbed"
Nicki Minaj,Pills N Potions,2014,soul,"Pills and potions, we're overdosin' I'm angry, but I still love you Pills and potions, we're overdosin' Can't stand it, but I still love you  I still love, I still love, I still love, I still love I still lo-o-ove I still love, I still love, I still love, I still love I still love I still love, I still love, I still love, I still love I still lo-o-ove I still love, I still love, I still love, I still love I still love  Ayo, they could never make me hate you Even though what you was doin' wasn't tasteful Even though you out here lookin' so ungrateful I'ma keep it movin', be classy and graceful I told 'em it's no friends in the game, you ain't learn that yet All the bridges you came over, don't burn that yet Niggas want respect, but niggas ain't earn that yet Self-righteous and entitled but they swearin' on the Bible That they love you when, really, they no different from all your rivals But I still don't wish death on 'em, I just reflect on 'em See Nicki Minaj LiveGet tickets as low as $54You might also like Pills and potions, we're overdosin' I'm angry, but I still love you Pills and potions, we're overdosin' Can't stand it, but I still love you  I still love, I still love, I still love, I still love I still lo-o-ove I still love, I still love, I still love, I still love I still love I still love, I still love, I still love, I still love I still lo-o-ove I still love, I still love, I still love, I still love I still love  Yo, people'll love you and support you when it's beneficial I'ma forgive, I won't forget, but I'ma dead the issue Soon as you outta niggas lives is when they start to miss you They see you doin' good, now it's kinda hard to diss you Niggas be sick when they remember all the bad they wished you Niggas be mad when they can't come and live lavish wit' you Bu-bu-but I sped off in the Benzy I see the envy when I'm causin' a frenzy (Kyuh) So I pop pills for 'em (Rrrah) Cop cribs in the hills on 'em Pills and potions, we're overdosin' I'm angry, but I still love you Pills and potions, we're overdosin' Can't stand it, but I still love you  I still love, I still love, I still love, I still love I still lo-o-ove I still love, I still love, I still love, I still love I still love I still love, I still love, I still love, I still love I still lo-o-ove I still love, I still love, I still love, I still love I still love  I get high off Your memory I get high off Your memory I get high off Your memory In due time We'll be fine In due time I still love, I still love, I still love, I still love I still lo-o-ove I still love, I still love, I still love, I still love I still love I still love, I still love, I still love, I still love I still lo-o-ove I still love, I still love, I still love, I still love I still love651Embed"
Kendrick Lamar,Real,2012,soul,"I do what I wanna do I say what I wanna say, when I feel, and I Look in the mirror and know I'm there With my hands in the air, I'm proud to say yeah I'm real, I'm real, I'm really, really, real I'm real, I'm real, I'm really, really, real I'm real, I'm real, I'm really, really, real I'm real, I'm real, I'm really, really, real  I promise that I know you very well Your eyes never lie, even if they tell Sweet lullabies that come with a smell Of a dozen roses flipping down the green hill You're living in a world that come with plan B 'Cause plan A never relay a guarantee And plan C never could say just what it was And your plans only can pan around love You love him, you love them, you love her You love so much, you love when love hurts You love red bottom and gold that say Queen You love hand-bag on the waist of your jean You love French tip and trip that pay for You love bank slip that tell you we paid more You love a good hand whenever the card dealt But what love got to do with it when you don't love yourself? You might also like I do what I wanna do I say what I wanna say, when I feel, and I Look in the mirror and know I'm there With my hands in the air, I'm proud to say yeah I'm real, I'm real, I'm really, really, real I'm real, I'm real, I'm really, really, real I'm real, I'm real, I'm really, really, real I'm real, I'm real, ('Cause before you know it, everything's gone)  I promise that I know you very well Your eyes never lie, even if they fell Out the sky and your optics turn stale Where they mold that's green, I can see you fit the bill Of living in a world that come with plan B 'Cause plan A only can make another mistake And you can't see success coming from plan C When it all breaks, you'll still say you're lovely And love them and love when you love her You love so much, you love when love hurts You love fast cars and dead presidents old You love fast women, you love keepin' control Of everything that you love, you love beef You love streets, you love running, ducking police You love your hood, might even love it to death But what love got to do with it when you don't love yourself? I do what I wanna do I say what I wanna say, when I feel, and I Look in the mirror and know I'm there With my hands in the air, I'm proud to say yeah I'm real, I'm real, I'm really, really, real I'm real, I'm real, I'm really, really, real I'm real, I'm real, I'm really, really, real I'm real, I'm real ('Cause before you know it, everything's gone) The reason why I know you very well 'Cause we have the same eyes, can't you tell? The days I tried to cover up and conceal My pride, it only made it harder for me to deal When living in a world that come with plan B A scapegoat 'cause plan A don't come free And plan C just an excuse like because Or the word but, but what if I got love? I love them, I love when I love her I love so much, I love when love hurts I love first verse 'cause you're the girl I attract I love second verse 'cause you're the homie that pack Burner like a stove top, that love cooking from scratch I love what the both of you have to offer In fact, I love it so much, I don't love anything else But what love got to do with it when I don't love myself To the point I should hate everything I do love? Should I hate living my life inside the club? Should I hate her for watching me for that reason? Should I hate him for telling me that I'm seizin'? Should I hate them for telling me ball out? Should I hate street credibility I'm talkin' about Hating all money, power, respect in my will Or hating the fact none of that shit make me real? Kenny, I ain't trippin' off them dominoes anymore. Just calling, sorry to hear what happened to your homeboy, but don't learn the hard way like I did, homie. Any nigga can kill a man, that don't make you a real nigga. Real is responsibility. Real is taking care of your motherfucking family. Real is God, nigga  I do what I wanna do I say what I wanna say, when I feel, and I Look in the mirror and know I'm there With my hands in the air, I'm proud to say yeah I'm real, I'm real, I'm really, really, real I'm real, I'm real, I'm really, really, real I'm real, I'm real, I'm really, really, real I'm real, I'm real ('Cause before you know it, everything's gone)  Alright, that's all I wanted to tell you. Just make sure you call us back when you get this message. Here go your mom Boy, you better have my car on full all this time you done had my damn car, but look I ain't trippin'. Look, the neighbors say they seen you and your little friends over there by Food for Less and they was preaching to you over there telling you about the good book because right about now that's what y'all need. Oh, and Top Dawg called the house too. I guess they want you and Dave to come to the studio. But look, you take that music business serious, and put out something me and your dad can step to. Shit, you know we from Chicago, you know that's what we do Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you Sing my song, it's all for you  If I don't hear from you by tomorrow, I hope you come back and learn from your mistakes. Come back a man, tell your story to these black and brown kids in Compton. Let 'em know you was just like them, but you still rose from that dark place of violence, becoming a positive person. But when you do make it, give back with your words of encouragement, and that's the best way to give back. To your city... And I love you Kendrick, if I don't hear you knocking on the door you know where I usually leave the key. Alright? Talk to you later, bye. (*Sound of a cassette tape being stopped and fast forwarded*)178Embed"
Amy Winehouse,Back to Black,2007,soul,"He left no time to regret Kept his dick wet with his same old safe bet Me and my head high And my tears dry, get on without my guy You went back to what you knew So far removed from all that we went through And I tread a troubled track My odds are stacked, I'll go back to black  We only said goodbye with words I died a hundred times You go back to her and I go back to I go back to us  I love you much, it's not enough You love blow and I love puff And life is like a pipe And I'm a tiny penny rollin' up the walls inside  We only said goodbye with words I died a hundred times You go back to her and I go back to We only said goodbye with words I died a hundred times You go back to her and I go back to You might also like Black, black, black, black Black, black, black I go back to I go back to  We only said goodbye with words I died a hundred times You go back to her and I go back to We only said goodbye with words I died a hundred times You go back to her and I go back to black107Embed"
Bryson Tiller,Sorry Not Sorry,2015,soul,"Fight! Hey Goddamn... I'm winnin' Goddamn! I'm winnin', I'm winnin' God Got money, now you done switched up on me  I used to think about how you would act when a nigga got money Now you done switched up on me Now you wanna say What's up? to me Okay, so now you wanna make love to me  Girl, if you don't get the fuck from me I know you thought we had somethin' special But you don't mean nothin' to me Girl, I'm sorry, you not the one for me  Just be honest, girl, what you want from me? This ain't nothin' new, keep it so 100 I can't let none of these niggas get one up on me I go by God Tiller, you better run from me Give hope to my niggas, them niggas love money Adios to them bitches, can't get a hug from me I'm high on life, that's what it does for me My numbers goin' up, I feel a buzz comin' (One up) See Bryson Tiller LiveGet tickets as low as $26You might also like Young nigga, young nigga Your friends bad too? Then tell 'em come with you ('Cause I'm on, nigga) And we like, bitches with they own shit We don't like gold diggers Girl, if you don't get the fuck from me I know you thought we had somethin' special But you don't mean nothin' to me Girl, I'm sorry, you not the one for me  This the shit I don't condone in Cheatin' on your man but you can get it if you want it Lookin' for a bad bitch, I finally found a culprit Nigga takin' shots, send 'em back, check the postage, yeah Hatin' ass nigga, why won't you shut up? This the motherfuckin' 502 come up And every time I'm back in the city Every bitch with a hidden agenda run up (Cause I'm on, nigga)  Young nigga, young nigga Your friends bad too? Then tell 'em come with you ('Cause I'm on, nigga) And we like, bitches with they own shit We don't like gold diggers Girl, if you don't get the fuck from me I know you thought we had somethin' special But you don't mean nothin' to me Girl, I'm sorry, you not the one for me  Every nigga did you wrong, except for me I'm next to blow and so you should've been next to me Say you lovesick, girl I got the remedy I'll give you long dick and longevity Don't settle for less or for infidelity Niggas ain't built like me He can't bag and pipe and leave that pussy killed like me Or even keep the business behind his lips like me I got a hundred fuckin' problems Good brain, am I fuckin' with a scholar? Woodgrain, I'ma grip it when I whip it If I take a shot and brick it, I'ma flip it Thankful for my papa, nigga taught me how to get it Gotta make sure my brothers is eating, I'ma split it If she throw that pussy at me I'ma hit it Pen Griffey, but she won't get a penny, no (Boy, if you don't get!)  Young nigga, young nigga Your friends bad too? Then tell 'em come with you ('Cause I'm on, nigga) And we like, bitches with they own shit We don't like gold diggers Girl, if you don't get the fuck from me I know you thought we had somethin' special But you don't mean nothin' to me Girl, I'm sorry, you not the one for me  Hey Goddamn Hey We don't like gold diggers Goddamn, I'm winnin', I'm winnin' Goddamn, I'm winnin' Oh no!71Embed"
Michael Jackson,Thriller,1982,soul,"It's close to midnight And something evil's lurking in the dark Under the moonlight You see a sight that almost stops your heart You try to scream But terror takes the sound before you make it You start to freeze As horror looks you right between the eyes You're paralyzed  'Cause this is thriller, thriller night And no one's gonna save you From the beast about to strike You know it's thriller, thriller night You're fighting for your life inside a killer Thriller tonight, yeah Ooh  You hear the door slam And realize there's nowhere left to run You feel the cold hand And wonder if you'll ever see the sun You close your eyes And hope that this is just imagination (Girl) But all the while You hear a creature creepin’ up behind You're out of time You might also like 'Cause this is thriller, thriller night There ain't no second chance Against the thing with forty eyes, girl Thriller (Ooh), thriller night You're fighting for your life Inside a killer, thriller tonight  Night creatures call And the dead start to walk in their masquerade There's no escaping the jaws of the alien this time (They're open wide) This is the end of your life, ooh  They're out to get you There's demons closing in on every side (Ooh) They will possess you Unless you change that number on your dial Now is the time For you and I to cuddle close together, yeah All through the night I'll save you from the terror on the screen I'll make you see That this is thriller, thriller night 'Cause I can thrill you more Than any ghoul would ever dare try Thriller (Ooh), thriller night So let me hold you tight And share a killer, thriller, chiller Thriller, here tonight 'Cause this is thriller, thriller night Girl, I can thrill you more Than any ghoul would ever dare try Thriller (Ooh), thriller night So let me hold you tight And share a killer, thriller (Ow)  I'm gonna thrill you tonight Darkness falls across the land The midnight hour is close at hand Creatures crawl in search of blood To terrorize y'all's neighborhood (I'm gonna thrill you tonight) And whosoever shall be found Without the soul for getting down Must stand and face the hounds of hell And rot inside a corpse's shell I'm gonna thrill you tonight Thriller, ooh, babe (Thriller) I'm gonna thrill you tonight (Thriller night) Thriller, oh, darling (Oh, baby) I'm gonna thrill you tonight (Thriller) Ooh, babe (Thriller night) I'm gonna thrill you tonight (Thriller) Oh, darling (Oh, baby) Thriller night, babe (Thriller night, babe) Ooh The foulest stench is in the air The funk of forty thousand years (Thriller night, thriller) And grisly ghouls from every tomb Are closing in to seal your doom And though you fight to stay alive Your body starts to shiver (I'm gonna thrill you tonight) For no mere mortal can resist The evil of the thriller89Embed"
Beyoncé,Freedom,2016,soul,"Tryna rain, tryna rain on the thunder Tell the storm I'm new I'ma walk, I'ma march on the regular Painting white flags blue Lord, forgive me, I've been running Running blind in truth I'ma rain, I'ma rain on this bitter love Tell the sweet I'm new  I'm telling these tears, Go and fall away, fall away, oh May the last one burn into flames  Freedom! Freedom! I can't move Freedom, cut me loose! Yeah Freedom! Freedom! Where are you? 'Cause I need freedom, too! I break chains all by myself Won't let my freedom rot in hell Hey! I'ma keep running 'Cause a winner don't quit on themselves  I'ma wade, I'ma wave through the waters Tell the tide, Don't move I'ma riot, I'ma riot through your borders Call me bulletproof Lord, forgive me, I've been runnin' Runnin' blind in truth I'ma wade, I'ma wave through your shallow love Tell the deep I'm new You might also like I'm telling these tears, Go and fall away, fall away, oh May the last one burn into flames  Freedom! Freedom! I can't move Freedom, cut me loose! Freedom! Freedom! Where are you? 'Cause I need freedom, too! I break chains all by myself Won't let my freedom rot in hell Hey! I'ma keep running 'Cause a winner don't quit on themselves Ten Hail Marys, I meditate for practice Channel 9 news tell me I'm movin' backwards Eight blocks left, death is around the corner Seven misleadin' statements 'bout my persona Six headlights wavin' in my direction (Come on) Five-O askin' me what's in my possession Yeah, I keep runnin', jump in the aqueducts Fire hydrants and hazardous Smoke alarms on the back of us But mama, don't cry for me, ride for me Try for me, live for me Breathe for me, sing for me Honestly guidin' me I could be more than I gotta be Stole from me, lied to me, nation hypocrisy Code on me, drive on me Wicked, my spirit inspired me, like yeah Open correctional gates in higher desert (Yeah) Open our mind as we cast away oppression (Yeah) Open the streets and watch our beliefs And when they carve my name inside the concrete I pray it forever reads Freedom! Freedom! I can't move Freedom, cut me loose! Freedom! Freedom! Where are you? 'Cause I need freedom, too! I break chains all by myself Won't let my freedom rot in hell Hey! I'ma keep running 'Cause a winner don't quit on themselves  What you want from me? Is it truth you seek? Oh, father, can you hear me? What you want from me? Is it truth you seek? Oh, father, can you hear me? Hear me out I had my ups and downs, but I always find the inner strength to pull myself up. I was served lemons, but I made lemonade.68Embed"
Frank Ocean,Futura Free,2016,soul,"Alright, hold on  If I was being honest I'd say long as I could fuck three times a day and not skip a meal, I'm good I used to work on my feet for seven dollars a hour Call my mama like, Mama I ain't making minimum wage, mama I'm on, mama, I'm on Now  I'm making 400, 600, 800K, mama To stand on my feet, mama Play these songs, it's therapy, mama They paying me, mama I should be paying them I should be paying y'all, honest to God I'm just a guy, I'm not a god Sometimes I feel like I'm a god, but I'm not a god If I was, I don't know which heaven would have me, mama Let me run this bitch, I'ma run it into the ground, mama, the whole galaxy Goddamn, fuck these lames, they don't want none Fuck these lames, they don't want none Fuck these niggas Fuck these niggas, they don't want none Fuck these niggas Fuck you niggas and Fuck me if I hated on you You might also like I'ma stick around I'm gon' let my nuts hang Nigga, you got some just like me, don't you? Or maybe not just like me You know I'm Africano Americano And even if you're half Japanese, roots run deep Family tree throw a big shadow (Jamming to the rhythm) Tech company, please give me immortality (It's a face to face) I'm going rapidly, fading drastically (Keep me high, Castrati) Damn (Punani fade the stress) Or pull the zip down Wet your lips first, lick the tip now (Bugatti left some stretch marks on that freeway) Smoke somethin' (Marks on that freeway) They tryna find 2Pac Don't let 'em find 2Pac He evade the press He escape the stress La, la-la-la-la La, la-la-la-la La-la-la  I'll keep quiet and let you run your phone bill up I know you love to talk I ain't on your schedule I ain't on no schedule I ain't had me a job since 2009 I ain't on no sales floor You say I'm changing on you I feel like Selena They wanna murder a nigga, murder me like Selena You must ain't get the memo I don't cuff bitches no more But your bitch my exception Come get her outta my photo I only got one four-door Remember when I had that Lexus, no Our friendship don't go back that far Tyler slept on my sofa, yeah Niggas go back that far I ain't smoked all year This the last song, so I'm finna wipe that off Tolerance is so low, still smoke a whole 'gar Ménage on my birthday, tap out on the first stroke 'Cause this ain't no work day, she don't give head anyway 'Cause what niggas say, that's what she tell her man What a difference distance makes Niggas wan' fight in the streets Now shit startin' to make my hands hurt Jay hit me on the email, said I oughta act my net worth Dog, this is chess now, not fetch, I ain't runnin' for a nigga Ain't ran since track meets, that's the only time I ran from a nigga You can change this track now, could've changed this bitch a long time ago —know and —know, —know and —know Shout out to Hollygrove, I'm from that 7th, though Twins know and Lance know, Clark know and Matt know Shit went one-eighty on me, please run that back, though You say some shit about me? Tuck a real sport, my nigga That shit happened the second time? 'Cause Mark saw both times, nigga, I only saw the first time That second time, Jerron was there, nigga On God, he grabbed me in circles, nigga And the, and the other nigga tried to pull me Oh yeah, Jerron told me you that your ass especially told him Yeah, 'cause the nigga tried to boom me in my face I had AD in a headlock, nigga (The first time I saw?), I had this nigga like—  Make sure you speak up  Okay  What's your name?  Ryan  Yo, ayy be quiet, what's your name? What do you do? What's your first memory? The first word I learned to say or that I ever said  What's the most amazing thing you've ever witnessed? (Uh, hell no) (You're not gon' make it, are you?)  Friendship and how it controls the world  Hahaha Alright, um What three superpowers do you wish you had? My bad, say it again  Flying, contortion, to be invincible  Alright, make sure you speak up (What's your name?) Maybe we can get a little— a little bit, little bit, little bit  I wish I could sleep without, like, being dead But forever at the same time  Yo, what, what's, what's the year 3000 going to look like? (Dog, stop, stop, what you mean, bro? Stop, stop)  Or it could be great and shit can fly And buildings would be very, very tall and everybody won't know what the ground looks like  That's fucked up (Excuse me)  Chloe, shh, okay, start over  Best thing about being me is I got a nice set of friends, feel me? A pretty clear mind, I feel like, sometimes What's the worst thing about being me? Probably, uh–  Being Drake  I think a lot, a lot, too much Sometimes I'm very musty  Talents, got any secret talents? I don't think so, I'm pretty open with all, everything that I do  Talents? Um, I can play the theremin  Probably my brother, just to see how much work he has in one day  Probably, uh, probably Tyler, his life seems pretty awesome No, actually, no, fuck him uh I don't know Probably Dill, 'cause he doesn't have to do anything at all Just sits inside his house  What's your name?  Sage Elsesser  What do you do?  I play soccer And I go to school Um, I wanna be better at skating  Probably jump off something really high Super high and try to land in like a handstand or something  Alright, that's it  I don't know, there would be a lot of things I'll do Probably spend a lot of time with my family  Spend a couple hours with my family and I would go out and do like everything that I ever thought about trying  I don't know, there's a lot of things that you could do That's it  How far is a light-year? How far is a light-year? (I'd say like a thousand years?)81Embed"
Billie Holiday,Strange Fruit,1939,soul,"Southern trees bear a strange fruit Blood on the leaves and blood at the root Black bodies swinging in the Southern breeze Strange fruit hanging from the poplar trees  Pastoral scene of the gallant south The bulging eyes and the twisted mouth Scent of magnolias, sweet and fresh Then the sudden smell of burning flesh  Here is a fruit for the crows to pluck For the rain to gather, for the wind to suck For the sun to rot, for the tree to drop Here is a strange and bitter cropYou might also like46Embed"
Frank Ocean,Solo (Reprise),2016,soul,"Ayy Ayy, so now I'm  So low that I can see under the skirt of an ant So low that I don't get high no more When I Geronimo, I just go, Heh Solo, my cup is a rojo, my cholo, my friend So low that I can admit When I hear that another kid is shot by the popo It ain't an event no more So low that no more high horses, so hard to wear Polo When I do, I cut the pony off Now there's a hole where there once was a logo, how fitting So low that I can give a fuck about what is trending Tryna cut down on my spending Regardless of winning, instead of pretending And bending over backwards Over half of these hoes had work done Sayin' they want something real from a man Just saying it, we being real persons I hate that it's like this, I feel for you, ant I don't know what it's like with a skirt on So pardon me if I am being insensitive But darling, this only worsens So low my halo stay way low, it feels like it's bent So low that when they throw pussy or pesos Don't pay no attention to it So low that I am no rookie, but feel like a kid Lookin' at the other kids With astonishment while I'm on punishment Watchin' the summer come close to an end After twenty years in, I'm so naive I was under the im— 'Pression that everyone wrote they own verses It's comin' back different and, yeah, that shit hurts me I'm hummin' and whistlin' to those not deserving I've stumbled and lived every word, was I working just way too hard?You might also like115Embed"
